Aggregation Level,Data item,Unit,Pathway,Fuel,Peak/ Annual/ Minimum,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
4,"Total Commercial Demand inc Heat Pumps, District Heat, Rail Traction, No directs, exc EV",GWh,Electric Engagement,Electricity,Annual [Fiscal],81655,83772,82381,81877,83531,85655,88213,90758,94248,98403,102680,106754,111071,115393,119433,123308,127683,131939,136012,140041,143995,147846,151124,153504,155760,157828,159898,162012,164239,166532,168869
4,"Total Commercial Demand inc Heat Pumps, District Heat, Rail Traction, No directs, exc EV",GWh,Counterfactual,Electricity,Annual [Fiscal],81655,83772,82381,81877,84555,85404,86196,87435,88759,90262,91945,93709,95574,97746,99690,101528,103280,104981,106672,108373,110118,111850,113512,115116,116698,118244,119845,121504,123334,125211,127092
4,"Total Commercial Demand inc Heat Pumps, District Heat, Rail Traction, No directs, exc EV",GWh,Holistic Transition,Electricity,Annual [Fiscal],81655,83772,82381,81877,83908,86792,90239,93638,97361,101494,105706,109725,114079,118614,122999,127158,131526,135835,139954,143888,147263,150242,152968,155579,158108,160481,162783,165045,167292,169537,171778
4,"Total Commercial Demand inc Heat Pumps, District Heat, Rail Traction, No directs, exc EV",GWh,Five Year Forecast,Electricity,Annual [Fiscal],81655,83772,82381,81877,84116,85576,87761,90758,93476,96607,,,,,,,,,,,,,,,,,,,,,
5,Commercial District Heat Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],0,42,90,158,262,336,411,486,563,640,717,774,838,903,972,1032,1157,1297,1431,1552,1653,1761,1875,1985,2086,2173,2283,2388,2488,2581,2665
5,Commercial District Heat Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],0,42,90,158,248,315,381,449,517,585,653,729,820,912,1006,1022,1170,1306,1431,1550,1662,1794,1947,2126,2323,2496,2712,2931,3157,3390,3636
5,Commercial District Heat Demand,GWh,Counterfactual,Electricity,Annual [Fiscal],0,42,90,158,170,212,253,296,340,385,430,487,557,631,712,796,902,1019,1136,1255,1368,1489,1614,1734,1850,1953,2062,2163,2261,2356,2435
5,Commercial District Heat Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],0,42,90,158,244,314,383,452,520,587,652,734,823,915,1010,1036,1176,1330,1505,1709,1907,2155,2397,2642,2888,3109,3349,3587,3824,4058,4284
5,Commercial District Heat Demand,GWh,Five Year Forecast,Electricity,Annual [Fiscal],0,42,90,158,244,316,388,462,537,612,,,,,,,,,,,,,,,,,,,,,
5,Commercial Heat Pump Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],50,228,586,1113,1277,1619,2054,2673,3319,3977,4630,5323,6084,6892,7705,8516,9424,10263,11182,12152,13113,13992,14731,15466,16214,16983,17732,18430,19118,19806,20509
5,Commercial Heat Pump Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],50,228,586,1113,1484,1911,2392,3068,3793,4507,5290,6106,6947,7836,8740,9650,10758,11810,12873,13952,14952,15880,16599,17258,17917,18488,19003,19481,19915,20344,20723
5,Commercial Heat Pump Demand,GWh,Counterfactual,Electricity,Annual [Fiscal],50,228,586,1113,1373,1662,1993,2367,2739,3128,3516,3903,4427,4999,5586,6178,6684,7193,7739,8316,8904,9454,10015,10575,11121,11670,12229,12711,13148,13581,13960
5,Commercial Heat Pump Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],50,228,586,1113,1453,1843,2300,2966,3688,4448,5295,6224,7160,8102,9035,9957,11013,12082,13132,14172,15137,16020,16726,17365,17936,18390,18779,19158,19532,19913,20280
5,Commercial Heat Pump Demand,GWh,Five Year Forecast,Electricity,Annual [Fiscal],50,228,586,1113,1460,1816,2224,2789,3351,3988,,,,,,,,,,,,,,,,,,,,,
5,GB Customer Demand: Commercial Data Centres - Direct Transmission Customers,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],,,,1215,2378,3331,4090,5233,6559,7579,8660,9837,11138,12585,13660,14683,15688,16649,17500,18355,19229,20080,20882,21652,22352,23056,23740,24408,25064,25713,26351
5,GB Customer Demand: Commercial Data Centres - Direct Transmission Customers,GWh,Electric Engagement,Electricity,Annual [Fiscal],,,,1217,2503,3714,4823,6474,8422,10028,11731,13214,14680,16435,17662,18838,20006,21125,22112,23048,23961,24902,25754,26523,27240,27995,28737,29461,30174,30887,31591
5,GB Customer Demand: Commercial Data Centres - Direct Transmission Customers,GWh,Counterfactual,Electricity,Annual [Fiscal],,,,1194,2301,3136,3722,4621,5651,6388,7186,8082,9060,10389,11323,12202,13112,13942,14673,15360,16058,16746,17404,18015,18609,19228,19834,20429,21014,21594,22164
5,GB Customer Demand: Commercial Data Centres - Direct Transmission Customers,GWh,Holistic Transition,Electricity,Annual [Fiscal],,,,1227,2575,3915,5206,7101,9334,11210,13185,14868,16562,18548,19994,21419,22842,24202,25404,26526,27601,28703,29680,30542,31345,32178,32984,33765,34529,35291,36041
5,GB Customer Demand: Commercial Data Centres - Direct Transmission Customers,GWh,Five Year Forecast,Electricity,Annual [Fiscal],,,,1325,2444,3387,4131,5304,6682,7750,,,,,,,,,,,,,,,,,,,,,
5,GB Customer Demand: Commercial Data Centres - Distribution System Customers,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],,,,3785,3104,2939,3259,3568,3976,4961,6042,7189,8375,9152,10120,11044,11814,12521,13212,13875,14483,15034,15553,16095,16638,17112,17547,17971,18387,18794,19203
5,GB Customer Demand: Commercial Data Centres - Distribution System Customers,GWh,Electric Engagement,Electricity,Annual [Fiscal],,,,3783,3257,3281,3851,4442,5152,6601,8207,9654,10979,11888,12976,14009,14908,15737,16551,17290,17930,18500,19006,19510,20036,20507,20958,21396,21828,22255,22687
5,GB Customer Demand: Commercial Data Centres - Distribution System Customers,GWh,Counterfactual,Electricity,Annual [Fiscal],,,,2273,2193,2213,2263,2340,2647,3003,3342,3679,4002,4260,4456,4603,4703,4762,4781,4795,4812,4831,4852,4872,4888,4902,4914,4922,4926,4930,4934
5,GB Customer Demand: Commercial Data Centres - Distribution System Customers,GWh,Holistic Transition,Electricity,Annual [Fiscal],,,,3773,3333,3464,4159,4885,5728,7360,9156,10803,12293,13365,14633,15856,16959,17985,18986,19892,20675,21331,21892,22438,23000,23500,23978,24439,24889,25331,25778
5,GB Customer Demand: Commercial Data Centres - Distribution System Customers,GWh,Five Year Forecast,Electricity,Annual [Fiscal],,,,3675,3041,2899,3264,3607,4054,5110,,,,,,,,,,,,,,,,,,,,,
5,I&C Rail Traction Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],4816,4739,4768,4833,4963,5067,5173,5281,5391,5504,5619,5737,5857,5979,6104,6232,6362,6495,6631,6770,6912,7056,7204,7355,7508,7665,7826,7990,8157,8327,8502
5,I&C Rail Traction Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],4816,4739,4768,4833,4985,5106,5231,5359,5490,5624,5761,5902,6046,6194,6345,6500,6659,6822,6988,7159,7334,7513,7697,7885,8077,8275,8477,8684,8896,9113,9336
5,I&C Rail Traction Demand,GWh,Counterfactual,Electricity,Annual [Fiscal],4816,4739,4768,4833,4895,4944,4993,5043,5093,5144,5196,5248,5300,5353,5407,5461,5515,5571,5626,5683,5739,5797,5855,5913,5972,6032,6093,6153,6215,6277,6340
5,I&C Rail Traction Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],4816,4739,4768,4833,5016,5163,5315,5471,5632,5797,5968,6143,6323,6509,6701,6897,7100,7309,7524,7745,7972,8206,8448,8696,8951,9214,9485,9764,10051,10346,10650
5,I&C Rail Traction Demand,GWh,Five Year Forecast,Electricity,Annual [Fiscal],4816,4739,4768,4833,4951,5045,5141,5238,5338,5439,,,,,,,,,,,,,,,,,,,,,
5,Industrial District Heat Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],0,2,5,9,16,22,28,32,36,39,43,45,48,52,57,66,89,115,140,163,185,209,235,262,289,312,340,367,393,415,434
5,Industrial District Heat Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],0,2,5,9,15,20,25,28,32,35,39,42,46,50,54,55,74,93,109,125,139,154,172,190,210,228,251,274,300,326,347
5,Industrial District Heat Demand,GWh,Counterfactual,Electricity,Annual [Fiscal],0,2,5,7,11,17,22,26,29,31,33,35,37,40,45,56,74,93,112,130,147,167,189,213,237,261,287,312,336,355,371
5,Industrial District Heat Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],0,2,5,9,15,20,25,31,38,46,55,70,86,102,118,125,152,178,205,232,254,280,304,330,356,376,399,422,445,470,488
5,Industrial District Heat Demand,GWh,Five Year Forecast,Electricity,Annual [Fiscal],0,2,5,9,16,21,28,32,36,39,,,,,,,,,,,,,,,,,,,,,
5,Residential Micro-generation,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],3558,3737,5465,5460,5988,6516,7044,7572,8099,8627,9155,9683,10211,10738,11266,11794,12322,12850,13378,13905,14433,14961,15489,16017,16544,17072,17600,18128,18656,19183,19711
5,Residential Micro-generation,GWh,Electric Engagement,Electricity,Annual [Fiscal],3558,3737,5465,5460,6598,7736,8873,10011,11149,12286,13424,14561,15699,16837,17974,19112,20250,21387,22525,23663,24800,25938,27076,28213,29351,30488,31626,32764,33901,35039,36177
5,Residential Micro-generation,GWh,Counterfactual,Electricity,Annual [Fiscal],3558,3737,5465,5460,5819,6178,6537,6896,7255,7614,7973,8332,8691,9050,9409,9768,10127,10486,10845,11204,11563,11922,12281,12640,12999,13358,13717,14076,14435,14794,15153
5,Residential Micro-generation,GWh,Holistic Transition,Electricity,Annual [Fiscal],3558,3737,5465,5460,6598,7736,8873,10011,11149,12286,13424,14561,15699,16837,17974,19112,20250,21387,22525,23663,24800,25938,27076,28213,29351,30488,31626,32764,33901,35039,36177
5,Residential Micro-generation,GWh,Five Year Forecast,Electricity,Annual [Fiscal],3558,3737,5465,5460,5856,6251,6646,7042,7440,7838,,,,,,,,,,,,,,,,,,,,,
1,GBFES System Demand: Total Summer Minimum Demand,GW,Hydrogen Evolution,Electricity,Min (06:00),21.38,21.816,20.84,18.95784,18.97771,19.26112,19.35,19.613,19.795,20.21646,20.461,20.715,20.989,21.264,21.518,21.73,22.021,22.35,22.699,23.90063,23.329,23.615,23.871,25.02465,31.04308,24.385,24.443,24.537,24.698,24.841,29.72387
1,GBFES System Demand: Total Summer Minimum Demand,GW,Electric Engagement,Electricity,Min (06:00),21.38,21.816,20.84,18.95702,19.26928,19.11569,19.44154,19.75328,20.18018,20.488,21.037,21.549,22.182,22.885,23.637,27.01769,26.17696,26.191,27.006,27.737,35.93193,28.926,29.385,29.717,30.002,37.51506,31.14717,30.659,30.838,31.041,38.10264
1,GBFES System Demand: Total Summer Minimum Demand,GW,Counterfactual,Electricity,Min (06:00),21.38,21.816,20.84,18.94739,19.35086,19.21839,19.31902,19.57975,19.81721,20.0948,20.4011,20.517,20.619,21.41603,21.033,21.172,21.383,21.67111,21.8223,23.1988,23.96799,22.738,23.0919,23.365,26.45984,23.99,25.50353,24.806,25.222,25.667,29.40142
1,GBFES System Demand: Total Summer Minimum Demand,GW,Holistic Transition,Electricity,Min (06:00),21.38,21.816,20.84,18.95673,18.83328,19.27669,19.77473,20.44096,21.49641,20.583,20.996,21.33,22.304,22.917,22.796,23.306,24.771,24.512,25.071,26.562,26.049,26.42,27.969,28.28,27.382,28.948,30.82476,28.039,29.511,29.623,28.465
1,GBFES System Demand: Total Summer Minimum Demand,GW,Five Year Forecast,Electricity,Min (06:00),21.38,21.816,20.84,18.95784,18.96571,19.28412,19.446,19.778,20.043,20.55346,,,,,,,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Commercial including losses,GW,Hydrogen Evolution,Electricity,Min (06:00),8.081,8.164,7.815,6.854,7.023,7.183,7.306,7.473,7.625,7.816,8.038,8.286,8.541,8.795,9.04,9.292,9.574,9.877,10.184,10.49,10.786,11.06,11.315,11.535,11.69,11.823,11.947,12.076,12.208,12.343,12.48
2,GBFES Customer Demand: Commercial including losses,GW,Electric Engagement,Electricity,Min (06:00),8.081,8.164,7.815,6.854,7.207,7.187,7.377,7.564,7.833,8.17,8.53,8.883,9.268,9.649,10.008,10.371,10.805,11.248,11.693,12.141,12.566,12.975,13.326,13.595,13.839,14.052,14.261,14.463,14.625,14.792,14.968
2,GBFES Customer Demand: Commercial including losses,GW,Counterfactual,Electricity,Min (06:00),8.081,8.164,7.815,6.854,7.159,7.103,7.136,7.318,7.401,7.498,7.611,7.837,7.954,8.084,8.301,8.398,8.608,8.815,8.912,9.118,9.33,9.544,9.747,9.943,10.138,10.328,10.632,10.839,11.066,11.298,11.538
2,GBFES Customer Demand: Commercial including losses,GW,Holistic Transition,Electricity,Min (06:00),8.081,8.164,7.815,6.854,7.051,7.394,7.651,7.899,8.174,8.488,8.819,9.136,9.496,9.88,10.262,10.647,11.072,11.508,11.947,12.402,12.79,13.129,13.447,13.752,14.043,14.313,14.569,14.808,15.028,15.18,15.321
2,GBFES Customer Demand: Commercial including losses,GW,Five Year Forecast,Electricity,Min (06:00),8.081,8.164,7.815,6.854,7.033,7.189,7.349,7.574,7.784,8.031,,,,,,,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Direct Transmission Customers,GW,Hydrogen Evolution,Electricity,Min (06:00),0.8,0.8,0.8,0.8,0.8,0.87,0.99,1.12,1.19,1.38,1.5,1.485,1.47,1.455,1.45,1.405,1.36,1.315,1.27,1.225,1.2,1.193,1.186,1.179,1.172,1.165,1.158,1.151,1.15,1.15,1.15
2,GBFES Customer Demand: Direct Transmission Customers,GW,Electric Engagement,Electricity,Min (06:00),0.8,0.8,0.8,0.8,0.8,0.87,0.99,1.12,1.19,1.38,1.5,1.485,1.47,1.455,1.45,1.405,1.36,1.315,1.27,1.225,1.2,1.193,1.186,1.179,1.172,1.165,1.158,1.151,1.15,1.15,1.15
2,GBFES Customer Demand: Direct Transmission Customers,GW,Counterfactual,Electricity,Min (06:00),0.8,0.8,0.8,0.8,0.8,0.87,0.99,1.12,1.19,1.38,1.5,1.485,1.47,1.455,1.45,1.405,1.36,1.315,1.27,1.225,1.2,1.193,1.186,1.179,1.172,1.165,1.158,1.151,1.15,1.15,1.15
2,GBFES Customer Demand: Direct Transmission Customers,GW,Holistic Transition,Electricity,Min (06:00),0.8,0.8,0.8,0.8,0.8,0.87,0.99,1.12,1.19,1.38,1.5,1.485,1.47,1.455,1.45,1.405,1.36,1.315,1.27,1.225,1.2,1.193,1.186,1.179,1.172,1.165,1.158,1.151,1.15,1.15,1.15
2,GBFES Customer Demand: Direct Transmission Customers,GW,Five Year Forecast,Electricity,Min (06:00),0.8,0.8,0.8,0.8,0.8,0.87,0.99,1.12,1.19,1.38,,,,,,,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Industrial including losses,GW,Hydrogen Evolution,Electricity,Min (06:00),7.654,7.449,6.829,5.986,5.985,6.068,6.135,6.188,6.215,6.22,6.202,6.207,6.215,6.21,6.18,6.14,6.134,6.128,6.138,6.178,6.104,6.075,6.042,6.059,6.459,5.921,5.837,5.784,5.785,5.749,6.083
2,GBFES Customer Demand: Industrial including losses,GW,Electric Engagement,Electricity,Min (06:00),7.654,7.449,6.829,5.986,6.14,6.016,6.08,6.172,6.276,6.343,6.427,6.575,6.801,7.086,7.428,8.01,8.313,8.646,8.966,9.208,9.908,9.458,9.504,9.509,9.496,10.008,9.531,9.458,9.444,9.441,9.948
2,GBFES Customer Demand: Industrial including losses,GW,Counterfactual,Electricity,Min (06:00),7.654,7.449,6.829,5.986,6.115,6.085,6.198,6.285,6.337,6.369,6.421,6.449,6.508,6.596,6.574,6.586,6.609,6.627,6.655,6.759,6.827,6.752,6.802,6.85,7.092,6.942,7.072,7.063,7.144,7.24,7.586
2,GBFES Customer Demand: Industrial including losses,GW,Holistic Transition,Electricity,Min (06:00),7.654,7.449,6.829,5.986,5.93,6.061,6.127,6.209,6.249,6.274,6.275,6.301,6.411,6.522,6.583,6.71,6.922,6.984,7.063,7.168,7.12,7.104,7.194,7.166,7.05,7.131,7.219,6.991,7.069,7.045,6.963
2,GBFES Customer Demand: Industrial including losses,GW,Five Year Forecast,Electricity,Min (06:00),7.654,7.449,6.829,5.986,6.002,6.106,6.201,6.268,6.314,6.34,,,,,,,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Residential including losses,GW,Hydrogen Evolution,Electricity,Min (06:00),4.845,5.403,5.396,5.306,5.164,5.053,4.919,4.832,4.765,4.731,4.721,4.737,4.763,4.804,4.848,4.893,4.953,5.03,5.107,5.176,5.239,5.287,5.328,5.361,5.419,5.476,5.501,5.526,5.555,5.599,5.649
2,GBFES Customer Demand: Residential including losses,GW,Electric Engagement,Electricity,Min (06:00),4.845,5.403,5.396,5.306,5.118,4.957,4.813,4.716,4.638,4.595,4.58,4.606,4.643,4.695,4.751,4.808,4.886,4.982,5.077,5.163,5.244,5.3,5.369,5.434,5.495,5.552,5.568,5.587,5.619,5.658,5.699
2,GBFES Customer Demand: Residential including losses,GW,Counterfactual,Electricity,Min (06:00),4.845,5.403,5.396,5.306,5.275,5.158,4.992,4.853,4.844,4.761,4.694,4.746,4.687,4.748,4.708,4.783,4.771,4.894,4.918,5.052,5.082,5.249,5.319,5.393,5.472,5.555,5.652,5.753,5.862,5.979,6.106
2,GBFES Customer Demand: Residential including losses,GW,Holistic Transition,Electricity,Min (06:00),4.845,5.403,5.396,5.306,5.048,4.866,4.697,4.58,4.495,4.441,4.402,4.408,4.427,4.46,4.501,4.544,4.617,4.705,4.791,4.867,4.939,4.994,5.042,5.083,5.117,5.139,5.115,5.089,5.064,5.048,5.031
2,GBFES Customer Demand: Residential including losses,GW,Five Year Forecast,Electricity,Min (06:00),4.845,5.403,5.396,5.306,5.125,5.032,4.906,4.816,4.755,4.733,,,,,,,,,,,,,,,,,,,,,
3,Commercial District Heat Summer Min,GW,Hydrogen Evolution,Electricity,Min (06:00),0,0.000259,0.000495,0.000505,0.001100712,0.001371093,0.001446318,0.001527931,0.001611478,0.00169465,0.001777601,0.001761753,0.001746142,0.001729799,0.001709985,0.001684348,0.001423151,0.001170893,0.000925715,0.000685517,0.000448953,0.000356963,0.000266061,0.000176342,8.76664E-05,0,0,0,0,0,0
3,Commercial District Heat Summer Min,GW,Electric Engagement,Electricity,Min (06:00),0,0.000259,0.000495,0.000505,0.000986,0.001231,0.001302,0.001378,0.001454,0.001529,0.001606,0.001617,0.001628,0.001639,0.001649,0.001658,0.00157,0.001488,0.001408,0.001332,0.001257,0.001276,0.001295,0.001315,0.001335,0.001355,0.001518,0.00168,0.001841,0.002002,0.002167
3,Commercial District Heat Summer Min,GW,Counterfactual,Electricity,Min (06:00),0,0.000259,0.000495,0.000505,0.000431553,0.000533158,0.000562393,0.000595141,0.000629783,0.000666545,0.000703077,0.000735185,0.000766661,0.000798463,0.000826236,0.000850346,0.00072845,0.00061023,0.000495216,0.000382468,0.000270975,0.000219446,0.00016827,0.000117567,6.75341E-05,1.78178E-05,1.93118E-05,2.07955E-05,2.22036E-05,2.37269E-05,2.52552E-05
3,Commercial District Heat Summer Min,GW,Holistic Transition,Electricity,Min (06:00),0,0.000259,0.000495,0.000505,0.000603,0.000753,0.000782,0.00081,0.000838,0.000864,0.000889,0.000877,0.000866,0.000856,0.000848,0.000841,0.000719,0.000602,0.000487,0.000373,0.000259,0.000208,0.000156,0.000105,0.0000524,0,0,0,0,0,0
3,Commercial District Heat Summer Min,GW,Five Year Forecast,Electricity,Min (06:00),0,0.000259,0.000495,0.000505,0.00067,0.000835,0.000863,0.000896,0.000929,0.000963,,,,,,,,,,,,,,,,,,,,,
3,Commercial EV Summer Min,GW,Hydrogen Evolution,Electricity,Min (06:00),0.005727244,0.009199399,0.014065687,0.021433452,0.029664507,0.041071332,0.055990238,0.07507356,0.099509791,0.130459455,0.170033209,0.219180949,0.277480102,0.339189907,0.403531414,0.482824133,0.554401893,0.629493228,0.706252865,0.779845074,0.838442933,0.882352697,0.923204508,0.961929839,0.97526264,0.983799083,0.981545488,0.97590765,0.96948762,0.961537174,0.952455821
3,Commercial EV Summer Min,GW,Electric Engagement,Electricity,Min (06:00),0.005727244,0.009199399,0.014065687,0.021433452,0.031803748,0.045236151,0.062884513,0.085812531,0.11561344,0.153950497,0.203430703,0.26563537,0.341071405,0.424188783,0.516244371,0.626938275,0.743557072,0.879706588,1.036646189,1.204917066,1.353895336,1.485764146,1.598943896,1.70486789,1.802508715,1.887034466,1.960370183,2.020661734,2.027847573,2.032260387,2.037500084
3,Commercial EV Summer Min,GW,Counterfactual,Electricity,Min (06:00),0.005727244,0.009199399,0.014065687,0.021433452,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6,1.7,1.8
3,Commercial EV Summer Min,GW,Holistic Transition,Electricity,Min (06:00),0.005727244,0.009199399,0.014065687,0.021433452,0.032688561,0.046909337,0.065716437,0.090268682,0.122288511,0.163612442,0.217001867,0.284116643,0.365012693,0.452880585,0.54880228,0.662690237,0.77375841,0.902911079,1.05273805,1.234605896,1.393459437,1.52717799,1.65285639,1.770959824,1.879585755,1.975655791,2.057123486,2.126147895,2.179906302,2.170531957,2.152237548
3,Commercial EV Summer Min,GW,Five Year Forecast,Electricity,Min (06:00),0.005727244,0.009199399,0.014065687,0.021433452,0.031363264,0.044356421,0.061426974,0.083520246,0.112114028,0.148727661,,,,,,,,,,,,,,,,,,,,,
3,Commercial Heat Pumps,GW,Hydrogen Evolution,Electricity,Min (06:00),0.001887,0.010568,0.026427,0.047150014,0.052115744,0.0650229,0.082261172,0.104346235,0.125303749,0.144902275,0.163075459,0.185466909,0.209268986,0.234028146,0.258281191,0.282274808,0.309523866,0.335287006,0.362242035,0.389898337,0.416844525,0.441596883,0.463338749,0.485789198,0.509187327,0.533244967,0.556606346,0.578394188,0.599812523,0.620832794,0.641659868
3,Commercial Heat Pumps,GW,Electric Engagement,Electricity,Min (06:00),0.001887,0.010568,0.026427,0.047150014,0.069748927,0.088641832,0.109431369,0.135133502,0.160762069,0.184579129,0.209134262,0.235402054,0.26101088,0.285586542,0.30856238,0.329411857,0.354150726,0.376377319,0.396667278,0.41529175,0.43122296,0.446025745,0.456837896,0.466224143,0.475006762,0.481695415,0.492723436,0.502454033,0.511866959,0.521816592,0.530022793
3,Commercial Heat Pumps,GW,Counterfactual,Electricity,Min (06:00),0.001887,0.010568,0.026427,0.047150014,0.05243865,0.062890412,0.07344209,0.085564044,0.097342391,0.108997053,0.120445049,0.13246002,0.147699735,0.163065323,0.177993732,0.1921616,0.207471113,0.22312701,0.239335946,0.25633854,0.273433208,0.289661849,0.305074353,0.320238558,0.335275644,0.350161794,0.36714799,0.38210795,0.396736653,0.41142884,0.424479414
3,Commercial Heat Pumps,GW,Holistic Transition,Electricity,Min (06:00),0.001887,0.010568,0.026427,0.047150014,0.072989588,0.090807725,0.112381012,0.140556149,0.168377261,0.195676423,0.224397791,0.257057224,0.288550497,0.318805952,0.347394672,0.374363799,0.402258338,0.429872226,0.454989726,0.47812273,0.49852032,0.51710753,0.53098414,0.543341714,0.553747217,0.560774687,0.571397092,0.581302015,0.591087497,0.601017435,0.610066849
3,Commercial Heat Pumps,GW,Five Year Forecast,Electricity,Min (06:00),0.001887,0.010568,0.026427,0.047150014,0.061028415,0.074638944,0.090438019,0.110816868,0.129859061,0.148470744,,,,,,,,,,,,,,,,,,,,,
3,Commercial Losses,GW,Hydrogen Evolution,Electricity,Min (06:00),0.661620236,0.628556019,0.610600725,0.558795867,0.558946273,0.561208168,0.570827072,0.583858361,0.595739247,0.610629167,0.628018232,0.647368507,0.667301908,0.687138897,0.706273793,0.725999519,0.748023312,0.771712081,0.795688416,0.819549916,0.842738845,0.864143422,0.884021309,0.901211352,0.913347825,0.923725553,0.93342125,0.943528374,0.953776398,0.964348236,0.97508487
3,Commercial Losses,GW,Electric Engagement,Electricity,Min (06:00),0.661620236,0.628556019,0.610600725,0.558795867,0.573610986,0.561503953,0.576369218,0.59095847,0.612024165,0.638346112,0.666435795,0.694027964,0.724121081,0.753887299,0.781948663,0.810318317,0.844168333,0.878797311,0.913567238,0.948607647,0.981807424,1.013752275,1.041167253,1.062172644,1.081205142,1.097865451,1.114224487,1.129983089,1.142652176,1.155721641,1.16947763
3,Commercial Losses,GW,Counterfactual,Electricity,Min (06:00),0.661620236,0.628556019,0.610600725,0.558795867,0.569738992,0.554942945,0.557570351,0.571790102,0.578256279,0.585803263,0.594614721,0.612318949,0.621420967,0.63161963,0.648568165,0.656150913,0.67251346,0.68872559,0.696293199,0.712387449,0.728914296,0.745650184,0.761514582,0.776867545,0.792066747,0.806910744,0.830659802,0.846872138,0.864607611,0.882735253,0.901442176
3,Commercial Losses,GW,Holistic Transition,Electricity,Min (06:00),0.661620236,0.628556019,0.610600725,0.558795867,0.561162126,0.577706204,0.597797476,0.617135328,0.638632119,0.663186337,0.689032727,0.713784855,0.741916591,0.771885774,0.801739363,0.831866384,0.86508706,0.899153231,0.933416117,0.96893993,0.999260233,1.02575022,1.050628754,1.074429395,1.097212402,1.118301455,1.138281605,1.156908454,1.174147681,1.185992739,1.197050181
3,Commercial Losses,GW,Five Year Forecast,Electricity,Min (06:00),0.661620236,0.628556019,0.610600725,0.558795867,0.5597356,0.561679058,0.574181333,0.591737004,0.608189079,0.627465529,,,,,,,,,,,,,,,,,,,,,
3,Commercial Resistive Heat Summer Min,GW,Hydrogen Evolution,Electricity,Min (06:00),0.375613,0.374309,0.358465,0.346127,0.359004325,0.352201996,0.333389244,0.315967761,0.300599816,0.288364061,0.280294198,0.270123698,0.251756512,0.22859317,0.20418484,0.17942607,0.164134552,0.151115786,0.138468993,0.125885034,0.116968204,0.112300237,0.106327802,0.098227606,0.087193712,0.073066919,0.060232152,0.051965316,0.045488111,0.041818758,0.040654087
3,Commercial Resistive Heat Summer Min,GW,Electric Engagement,Electricity,Min (06:00),0.375613,0.374309,0.358465,0.346127,0.325268,0.315281,0.299147,0.284995,0.274417,0.269279,0.266274,0.260266,0.253961,0.240005,0.220272,0.20003,0.190088,0.181415,0.173627,0.167577,0.164938,0.164857,0.162489,0.156135,0.146273,0.134572,0.122809,0.113634,0.110493,0.109744,0.112288
3,Commercial Resistive Heat Summer Min,GW,Counterfactual,Electricity,Min (06:00),0.375613,0.374309,0.358465,0.346127,0.317013565,0.309646343,0.296284253,0.288407734,0.283006462,0.278544296,0.27573848,0.271369962,0.264911707,0.252204993,0.237495707,0.221091378,0.207191587,0.195021016,0.183890617,0.174001893,0.1667485,0.160925012,0.151640242,0.14066211,0.128645362,0.115485046,0.101948818,0.091507784,0.083505999,0.076267567,0.073201629
3,Commercial Resistive Heat Summer Min,GW,Holistic Transition,Electricity,Min (06:00),0.375613,0.374309,0.358465,0.346127,0.424036,0.413719,0.390293,0.364445,0.33725,0.309974,0.282089,0.244075,0.208823,0.176227,0.146301,0.119048,0.10696,0.095857,0.085431,0.076302,0.07031,0.067153,0.064511,0.063048,0.063363,0.065534,0.066639,0.067859,0.069266,0.070901,0.072433
3,Commercial Resistive Heat Summer Min,GW,Five Year Forecast,Electricity,Min (06:00),0.375613,0.374309,0.358465,0.346127,0.339245,0.331248,0.315194,0.300832,0.288605,0.277188,,,,,,,,,,,,,,,,,,,,,
